Orientation,Length,Nonsyn,HSmut,Convergent,Parallel,Coincidental
CD,239,7,2,0,0,2
CD,240,5,2,0,2,0
CD,240,0,0,0,0,0
CD,241,11,2,0,2,0
CD,241,5,0,0,0,0
CD,244,8,0,0,0,0
CD,244,2,0,0,0,0
CD,245,3,0,0,0,0
CD,246,23,4,0,0,4
CD,246,11,0,0,0,0
CD,246,2,0,0,0,0
CD,246,0,0,0,0,0
CD,247,12,0,0,0,0
CD,247,3,0,0,0,0
CD,248,8,0,0,0,0
CD,249,7,0,0,0,0
CD,249,3,0,0,0,0
CD,249,2,0,0,0,0
CD,250,5,0,0,0,0
CD,251,5,0,0,0,0
CD,251,6,0,0,0,0
CD,251,7,0,0,0,0
CD,251,4,2,0,0,2
CD,253,4,2,0,2,0
CD,254,12,0,0,0,0
CD,254,13,2,0,0,2
CD,254,8,0,0,0,0
CD,254,1,0,0,0,0
CD,255,15,0,0,0,0
CD,255,6,0,0,0,0
CD,255,3,0,0,0,0
CD,255,2,0,0,0,0
CD,255,1,0,0,0,0
CD,256,18,0,0,0,0
CD,256,10,0,0,0,0
CD,256,15,4,0,2,2
CD,257,7,0,0,0,0
CD,257,11,2,0,2,0
CD,257,12,2,0,2,0
CD,257,12,2,0,0,2
CD,257,8,2,0,2,0
CD,257,8,0,0,0,0
CD,257,5,0,0,0,0
CD,258,2,0,0,0,0
CD,259,0,0,0,0,0
CD,260,8,2,0,0,2
CD,260,1,0,0,0,0
CD,261,4,2,0,2,0
CD,261,2,0,0,0,0
CD,262,5,0,0,0,0
CD,262,4,0,0,0,0
CD,263,4,0,0,0,0
CD,264,8,0,0,0,0
CD,266,1,0,0,0,0
CD,267,18,0,0,0,0
CD,267,2,0,0,0,0
CD,268,6,0,0,0,0
CD,269,9,0,0,0,0
CD,269,5,0,0,0,0
CD,269,3,0,0,0,0
CD,270,12,2,0,2,0
CD,270,1,0,0,0,0
CD,271,0,0,0,0,0
CD,273,13,0,0,0,0
CD,273,0,0,0,0,0
CD,274,5,0,0,0,0
CD,274,2,0,0,0,0
CD,275,10,2,0,0,2
CD,275,3,0,0,0,0
CD,275,3,0,0,0,0
CD,276,6,0,0,0,0
CD,276,6,2,0,0,2
CD,276,2,0,0,0,0
CD,276,0,0,0,0,0
CD,277,7,0,0,0,0
CD,277,0,0,0,0,0
CD,278,18,2,0,0,2
CD,278,7,2,0,2,0
CD,278,6,0,0,0,0
CD,280,3,0,0,0,0
CD,281,6,0,0,0,0
CD,281,4,0,0,0,0
CD,281,7,0,0,0,0
CD,282,7,0,0,0,0
CD,282,6,2,0,2,0
CD,282,4,0,0,0,0
CD,283,3,0,0,0,0
CD,283,2,0,0,0,0
CD,285,5,0,0,0,0
CD,285,0,0,0,0,0
CD,286,2,0,0,0,0
CD,287,8,0,0,0,0
CD,287,3,0,0,0,0
CD,288,1,0,0,0,0
CD,289,6,0,0,0,0
CD,289,4,0,0,0,0
CD,290,12,2,0,0,2
CD,290,3,0,0,0,0
CD,290,3,0,0,0,0
CD,290,1,0,0,0,0
CD,291,13,2,0,0,2
CD,291,11,4,0,4,0
CD,291,5,0,0,0,0
CD,292,3,0,0,0,0
CD,293,6,0,0,0,0
CD,294,1,0,0,0,0
CD,295,5,0,0,0,0
CD,295,2,0,0,0,0
CD,295,0,0,0,0,0
CD,296,8,0,0,0,0
CD,297,7,2,0,0,2
CD,298,9,0,0,0,0
CD,298,0,0,0,0,0
CD,300,10,0,0,0,0
CD,300,10,0,0,0,0
CD,300,5,0,0,0,0
CD,300,1,0,0,0,0
CD,301,9,0,0,0,0
CD,301,5,4,0,0,4
CD,303,14,2,0,2,0
CD,303,7,2,0,0,2
CD,303,4,0,0,0,0
CD,303,2,0,0,0,0
CD,304,6,0,0,0,0
CD,305,4,0,0,0,0
CD,305,2,0,0,0,0
CD,305,3,0,0,0,0
CD,308,6,0,0,0,0
CD,308,3,0,0,0,0
CD,309,24,4,0,0,4
CD,309,6,0,0,0,0
CD,309,8,0,0,0,0
CD,311,9,0,0,0,0
CD,311,6,2,0,0,2
CD,311,3,0,0,0,0
CD,311,3,0,0,0,0
CD,311,1,0,0,0,0
CD,312,3,0,0,0,0
CD,313,6,2,0,0,2
CD,313,5,2,0,0,2
CD,314,0,0,0,0,0
CD,315,8,0,0,0,0
CD,316,6,0,0,0,0
CD,316,2,0,0,0,0
CD,316,1,0,0,0,0
CD,317,8,0,0,0,0
CD,317,0,0,0,0,0
CD,318,6,0,0,0,0
CD,319,7,0,0,0,0
CD,319,2,0,0,0,0
CD,321,9,3,0,2,1
CD,321,6,0,0,0,0
CD,321,0,0,0,0,0
CD,322,7,0,0,0,0
CD,322,3,0,0,0,0
CD,323,9,0,0,0,0
CD,323,7,2,0,0,2
CD,324,6,2,0,0,2
CD,324,5,2,0,2,0
CD,325,11,0,0,0,0
CD,325,12,0,0,0,0
CD,325,6,0,0,0,0
CD,325,2,0,0,0,0
CD,328,10,2,0,2,0
CD,328,6,0,0,0,0
CD,329,22,4,0,0,4
CD,329,4,0,0,0,0
CD,329,3,0,0,0,0
CD,329,3,0,0,0,0
CD,330,5,0,0,0,0
CD,331,16,2,0,0,2
CD,332,0,0,0,0,0
CD,333,7,0,0,0,0
CD,333,5,0,0,0,0
CD,333,3,0,0,0,0
CD,334,5,0,0,0,0
CD,335,5,0,0,0,0
CD,335,0,0,0,0,0
CD,337,3,0,0,0,0
CD,338,6,2,0,0,2
CD,338,1,0,0,0,0
CD,340,3,0,0,0,0
CD,341,10,2,0,2,0
CD,341,8,2,0,0,2
CD,342,3,0,0,0,0
CD,343,2,0,0,0,0
CD,344,6,0,0,0,0
CD,346,8,0,0,0,0
CD,347,10,2,0,0,2
CD,348,5,0,0,0,0
CD,348,3,0,0,0,0
CD,353,13,0,0,0,0
CD,353,12,0,0,0,0
CD,354,9,0,0,0,0
CD,356,8,0,0,0,0
CD,356,2,0,0,0,0
CD,358,5,0,0,0,0
CD,358,0,0,0,0,0
CD,360,2,0,0,0,0
CD,363,12,2,0,0,2
CD,363,8,0,0,0,0
CD,363,6,0,0,0,0
CD,363,3,0,0,0,0
CD,364,6,0,0,0,0
CD,366,2,0,0,0,0
CD,366,2,0,0,0,0
CD,370,6,0,0,0,0
CD,371,9,0,0,0,0
CD,371,0,0,0,0,0
CD,371,0,0,0,0,0
CD,372,8,0,0,0,0
CD,375,4,0,0,0,0
CD,378,2,0,0,0,0
CD,380,29,8,0,6,2
CD,381,1,0,0,0,0
CD,382,9,0,0,0,0
CD,382,4,0,0,0,0
CD,382,3,0,0,0,0
CD,383,8,2,0,0,2
CD,385,7,0,0,0,0
CD,385,3,0,0,0,0
CD,386,20,0,0,0,0
CD,386,5,0,0,0,0
CD,390,16,0,0,0,0
CD,390,2,0,0,0,0
CD,392,4,0,0,0,0
CD,392,3,0,0,0,0
CD,393,3,0,0,0,0
CD,394,5,0,0,0,0
CD,395,0,0,0,0,0
CD,396,5,0,0,0,0
CD,398,14,0,0,0,0
CD,398,7,0,0,0,0
CD,399,30,4,0,0,4
CD,400,1,0,0,0,0
CD,403,4,0,0,0,0
CD,404,6,0,0,0,0
CD,406,8,0,0,0,0
CD,409,6,0,0,0,0
CD,411,5,0,0,0,0
CD,412,11,0,0,0,0
CD,415,7,0,0,0,0
CD,420,1,0,0,0,0
CD,421,6,0,0,0,0
CD,421,6,2,0,2,0
CD,422,24,2,0,0,2
CD,422,13,0,0,0,0
CD,422,7,0,0,0,0
CD,423,13,0,0,0,0
CD,423,5,0,0,0,0
CD,424,10,0,0,0,0
CD,424,15,2,0,2,0
CD,427,4,0,0,0,0
CD,427,0,0,0,0,0
CD,428,12,2,0,2,0
CD,428,10,0,0,0,0
CD,428,7,0,0,0,0
CD,429,2,0,0,0,0
CD,430,8,0,0,0,0
CD,430,8,0,0,0,0
CD,430,6,0,0,0,0
CD,431,5,0,0,0,0
CD,431,5,2,0,2,0
CD,432,6,0,0,0,0
CD,433,9,0,0,0,0
CD,433,3,0,0,0,0
CD,436,4,0,0,0,0
CD,437,11,4,0,0,4
CD,437,7,4,0,2,2
CD,440,7,0,0,0,0
CD,442,3,0,0,0,0
CD,443,15,2,0,2,0
CD,444,5,0,0,0,0
CD,445,27,4,0,0,4
CD,446,3,0,0,0,0
CD,446,1,0,0,0,0
CD,448,2,0,0,0,0
CD,450,5,0,0,0,0
CD,450,2,0,0,0,0
CD,454,3,0,0,0,0
CD,455,8,2,0,0,2
CD,456,8,0,0,0,0
CD,459,11,0,0,0,0
CD,459,7,0,0,0,0
CD,462,3,0,0,0,0
CD,463,17,2,0,2,0
CD,465,1,0,0,0,0
CD,466,5,0,0,0,0
CD,467,4,0,0,0,0
CD,468,7,0,0,0,0
CD,469,12,0,0,0,0
CD,469,2,0,0,0,0
CD,470,4,0,0,0,0
CD,472,29,4,0,2,2
CD,472,9,2,0,0,2
CD,473,5,0,0,0,0
CD,476,1,0,0,0,0
CD,478,12,0,0,0,0
CD,483,11,2,0,2,0
CD,484,10,0,0,0,0
CD,485,4,0,0,0,0
CD,488,4,0,0,0,0
CD,490,5,0,0,0,0
CD,492,4,0,0,0,0
CD,494,6,0,0,0,0
CD,499,3,0,0,0,0
CD,502,22,0,0,0,0
CD,502,4,2,0,2,0
CD,509,8,0,0,0,0
CD,509,5,2,0,0,2
CD,511,14,2,0,2,0
CD,513,10,2,0,2,0
CD,513,3,0,0,0,0
CD,520,0,0,0,0,0
CD,540,5,0,0,0,0
CD,544,3,0,0,0,0
CD,555,7,2,0,0,2
CD,570,2,0,0,0,0
CD,580,11,0,0,0,0
CD,582,11,2,0,0,2
CD,586,3,0,0,0,0
CD,600,8,0,0,0,0
CD,603,13,0,0,0,0
CD,606,13,2,0,2,0
CD,611,4,0,0,0,0
CD,611,6,0,0,0,0
CD,612,5,0,0,0,0
CD,622,37,8,0,8,0
CD,628,4,0,0,0,0
CD,631,4,0,0,0,0
CD,632,6,2,0,0,2
CD,633,9,2,0,2,0
CD,637,2,0,0,0,0
CD,638,5,0,0,0,0
CD,643,7,0,0,0,0
CD,649,7,0,0,0,0
CD,659,7,0,0,0,0
CD,692,6,0,0,0,0
CD,699,11,0,0,0,0
CD,700,9,0,0,0,0
CD,705,13,0,0,0,0
CD,716,8,2,0,2,0
CD,734,4,0,0,0,0
CD,779,11,0,0,0,0
CD,804,24,6,0,6,0
CD,841,17,0,0,0,0
CD,1193,3,0,0,0,0
CD,1199,3,0,0,0,0
CD,2334,90,17,0,12,5
HO,36,0,0,0,0,0
HO,41,7,0,0,0,0
HO,43,0,0,0,0,0
HO,46,1,0,0,0,0
HO,47,1,0,0,0,0
HO,48,6,0,0,0,0
HO,48,3,0,0,0,0
HO,48,1,0,0,0,0
HO,50,1,0,0,0,0
HO,50,0,0,0,0,0
HO,54,3,0,0,0,0
HO,59,7,2,0,0,2
HO,61,5,2,0,0,2
HO,61,4,0,0,0,0
HO,62,2,0,0,0,0
HO,62,3,0,0,0,0
HO,63,2,0,0,0,0
HO,63,1,0,0,0,0
HO,64,3,0,0,0,0
HO,64,0,0,0,0,0
HO,66,2,0,0,0,0
HO,66,1,0,0,0,0
HO,67,4,0,0,0,0
HO,67,1,0,0,0,0
HO,68,4,0,0,0,0
HO,69,4,0,0,0,0
HO,71,0,0,0,0,0
HO,72,2,0,0,0,0
HO,72,0,0,0,0,0
HO,74,2,0,0,0,0
HO,76,8,0,0,0,0
HO,77,5,0,0,0,0
HO,81,2,0,0,0,0
HO,81,0,0,0,0,0
HO,82,0,0,0,0,0
HO,86,2,0,0,0,0
HO,87,11,2,0,0,2
HO,87,0,0,0,0,0
HO,92,5,0,0,0,0
HO,92,1,0,0,0,0
HO,94,2,0,0,0,0
HO,95,4,0,0,0,0
HO,95,2,0,0,0,0
HO,95,2,0,0,0,0
HO,96,4,0,0,0,0
HO,96,1,0,0,0,0
HO,98,7,0,0,0,0
HO,100,5,2,0,0,2
HO,104,5,0,0,0,0
HO,105,2,0,0,0,0
HO,106,3,0,0,0,0
HO,106,4,0,0,0,0
HO,106,1,0,0,0,0
HO,108,1,0,0,0,0
HO,109,11,6,0,4,2
HO,110,3,0,0,0,0
HO,110,2,0,0,0,0
HO,110,2,2,0,0,2
HO,113,0,0,0,0,0
HO,116,0,0,0,0,0
HO,117,2,0,0,0,0
HO,117,5,0,0,0,0
HO,117,3,0,0,0,0
HO,118,4,0,0,0,0
HO,124,6,0,0,0,0
HO,126,1,0,0,0,0
HO,127,5,0,0,0,0
HO,128,2,0,0,0,0
HO,130,7,4,0,0,4
HO,130,2,0,0,0,0
HO,131,3,0,0,0,0
HO,132,1,0,0,0,0
HO,135,1,0,0,0,0
HO,136,10,0,0,0,0
HO,137,6,2,0,0,2
HO,137,2,0,0,0,0
HO,141,3,0,0,0,0
HO,143,4,0,0,0,0
HO,143,1,0,0,0,0
HO,148,1,0,0,0,0
HO,148,0,0,0,0,0
HO,153,7,0,0,0,0
HO,154,9,2,0,0,2
HO,154,1,0,0,0,0
HO,157,8,0,0,0,0
HO,161,7,2,0,0,2
HO,162,8,0,0,0,0
HO,163,0,0,0,0,0
HO,164,13,2,0,2,0
HO,164,4,0,0,0,0
HO,166,6,2,0,0,2
HO,166,7,2,0,0,2
HO,167,2,0,0,0,0
HO,171,8,0,0,0,0
HO,173,9,0,0,0,0
HO,180,2,0,0,0,0
HO,184,5,0,0,0,0
HO,185,6,0,0,0,0
HO,185,6,0,0,0,0
HO,187,6,0,0,0,0
HO,190,17,2,0,0,2
HO,193,4,0,0,0,0
HO,200,1,0,0,0,0
HO,202,8,4,0,0,4
HO,203,2,0,0,0,0
HO,205,8,0,0,0,0
HO,205,0,0,0,0,0
HO,206,5,0,0,0,0
HO,209,2,0,0,0,0
HO,210,8,0,0,0,0
HO,214,10,0,0,0,0
HO,215,8,0,0,0,0
HO,217,6,0,0,0,0
HO,225,11,2,0,0,2
HO,225,7,3,0,3,0
HO,225,3,0,0,0,0
HO,229,7,2,0,2,0
HO,233,10,0,0,0,0
HO,234,5,2,0,2,0
HO,247,8,0,0,0,0
HO,249,1,0,0,0,0
HO,251,3,0,0,0,0
HO,252,11,0,0,0,0
HO,254,2,0,0,0,0
HO,261,5,0,0,0,0
HO,270,3,0,0,0,0
HO,271,4,0,0,0,0
HO,273,7,0,0,0,0
HO,280,11,0,0,0,0
HO,285,12,2,0,2,0
HO,286,16,6,0,2,4
HO,290,26,2,0,0,2
HO,291,11,0,0,0,0
HO,292,16,6,0,4,2
HO,297,11,0,0,0,0
HO,301,12,0,0,0,0
HO,309,3,0,0,0,0
HO,310,4,0,0,0,0
HO,315,13,2,0,2,0
HO,317,7,0,0,0,0
HO,321,9,0,0,0,0
HO,326,12,0,0,0,0
HO,326,9,4,0,2,2
HO,327,3,0,0,0,0
HO,332,2,0,0,0,0
HO,350,20,2,0,0,2
HO,353,4,0,0,0,0
HO,355,10,0,0,0,0
HO,363,8,0,0,0,0
HO,377,6,0,0,0,0
HO,378,13,0,0,0,0
HO,381,17,2,0,2,0
HO,381,13,2,0,2,0
HO,388,7,0,0,0,0
HO,392,17,2,0,0,2
HO,395,4,2,0,0,2
HO,397,4,2,0,2,0
HO,441,32,3,0,0,3
HO,444,9,0,0,0,0
HO,473,13,2,0,0,2
HO,483,6,0,0,0,0
HO,506,10,0,0,0,0
HO,509,13,0,0,0,0
HO,552,10,0,0,0,0
HO,624,15,0,0,0,0
HO,641,13,2,0,2,0
HO,649,20,0,0,0,0
HO,805,24,7,0,6,1
