Orientation,Length,Nonsyn,HSmut,Convergent,Parallel,Coincidental
CD,29,1,0,0,0,0
CD,33,7,2,0,2,0
CD,35,2,0,0,0,0
CD,36,2,0,0,0,0
CD,38,6,2,0,0,2
CD,39,2,0,0,0,0
CD,40,5,2,0,0,2
CD,40,2,0,0,0,0
CD,41,4,0,0,0,0
CD,41,6,2,0,0,2
CD,41,0,0,0,0,0
CD,42,2,0,0,0,0
CD,42,2,0,0,0,0
CD,43,13,2,0,0,2
CD,43,2,0,0,0,0
CD,44,9,2,0,2,0
CD,44,0,0,0,0,0
CD,45,9,4,0,2,2
CD,45,8,0,0,0,0
CD,45,3,0,0,0,0
CD,45,0,0,0,0,0
CD,46,5,0,0,0,0
CD,46,7,2,0,2,0
CD,46,5,0,0,0,0
CD,46,1,0,0,0,0
CD,46,1,0,0,0,0
CD,46,0,0,0,0,0
CD,47,2,0,0,0,0
CD,47,7,4,0,3,1
CD,47,2,0,0,0,0
CD,48,5,0,0,0,0
CD,48,1,0,0,0,0
CD,48,0,0,0,0,0
CD,49,3,0,0,0,0
CD,49,3,0,0,0,0
CD,49,1,0,0,0,0
CD,49,0,0,0,0,0
CD,51,4,0,0,0,0
CD,51,6,0,0,0,0
CD,51,3,0,0,0,0
CD,51,3,0,0,0,0
CD,51,7,3,0,2,1
CD,51,1,0,0,0,0
CD,51,3,0,0,0,0
CD,52,4,0,0,0,0
CD,52,4,0,0,0,0
CD,53,2,0,0,0,0
CD,53,4,2,0,2,0
CD,53,1,0,0,0,0
CD,54,4,0,0,0,0
CD,54,5,0,0,0,0
CD,54,8,4,0,0,4
CD,54,4,0,0,0,0
CD,54,0,0,0,0,0
CD,55,7,0,0,0,0
CD,55,7,0,0,0,0
CD,55,8,2,0,2,0
CD,55,2,0,0,0,0
CD,55,6,4,0,4,0
CD,55,3,0,0,0,0
CD,56,6,0,0,0,0
CD,56,9,3,0,3,0
CD,56,5,4,0,4,0
CD,56,4,0,0,0,0
CD,56,2,0,0,0,0
CD,57,13,3,0,3,0
CD,57,4,0,0,0,0
CD,57,2,0,0,0,0
CD,57,1,0,0,0,0
CD,58,6,2,0,2,0
CD,58,4,0,0,0,0
CD,58,5,2,0,2,0
CD,58,7,0,0,0,0
CD,58,3,0,0,0,0
CD,58,2,0,0,0,0
CD,58,0,0,0,0,0
CD,58,0,0,0,0,0
CD,59,5,2,0,2,0
CD,59,3,0,0,0,0
CD,59,6,2,0,2,0
CD,59,5,3,0,2,1
CD,59,1,0,0,0,0
CD,59,0,0,0,0,0
CD,60,4,0,0,0,0
CD,60,2,0,0,0,0
CD,60,1,0,0,0,0
CD,60,0,0,0,0,0
CD,61,2,0,0,0,0
CD,61,4,0,0,0,0
CD,61,1,0,0,0,0
CD,61,0,0,0,0,0
CD,62,6,0,0,0,0
CD,62,3,0,0,0,0
CD,62,3,0,0,0,0
CD,62,2,0,0,0,0
CD,63,7,0,0,0,0
CD,63,8,6,0,6,0
CD,63,5,0,0,0,0
CD,63,2,0,0,0,0
CD,63,1,0,0,0,0
CD,63,0,0,0,0,0
CD,64,5,2,0,0,2
CD,64,7,0,0,0,0
CD,64,6,2,0,0,2
CD,64,3,0,0,0,0
CD,65,10,0,0,0,0
CD,65,6,0,0,0,0
CD,65,3,0,0,0,0
CD,65,1,0,0,0,0
CD,65,0,0,0,0,0
CD,66,3,0,0,0,0
CD,66,4,2,0,2,0
CD,66,2,0,0,0,0
CD,66,0,0,0,0,0
CD,67,4,0,0,0,0
CD,67,6,2,0,0,2
CD,67,4,0,0,0,0
CD,67,7,0,0,0,0
CD,67,6,2,0,2,0
CD,67,0,0,0,0,0
CD,68,9,0,0,0,0
CD,68,5,0,0,0,0
CD,68,4,2,0,2,0
CD,68,7,4,0,2,2
CD,68,1,0,0,0,0
CD,68,0,0,0,0,0
CD,69,5,0,0,0,0
CD,69,10,4,0,2,2
CD,69,5,2,0,2,0
CD,69,3,0,0,0,0
CD,70,1,0,0,0,0
CD,70,2,0,0,0,0
CD,70,0,0,0,0,0
CD,70,0,0,0,0,0
CD,71,10,4,0,4,0
CD,71,10,4,0,4,0
CD,71,12,7,2,5,0
CD,71,5,3,0,3,0
CD,71,3,2,0,0,2
CD,71,1,0,0,0,0
CD,71,1,0,0,0,0
CD,72,6,2,0,2,0
CD,72,1,0,0,0,0
CD,73,13,4,0,4,0
CD,73,4,0,0,0,0
CD,73,0,0,0,0,0
CD,74,1,0,0,0,0
CD,74,6,0,0,0,0
CD,74,9,6,0,6,0
CD,74,2,0,0,0,0
CD,74,2,2,0,0,2
CD,74,0,0,0,0,0
CD,75,4,0,0,0,0
CD,75,16,5,0,2,3
CD,75,4,0,0,0,0
CD,75,3,2,0,0,2
CD,75,3,0,0,0,0
CD,75,2,0,0,0,0
CD,76,9,2,0,2,0
CD,76,6,2,0,0,2
CD,76,2,0,0,0,0
CD,76,5,0,0,0,0
CD,76,5,2,0,0,2
CD,76,2,0,0,0,0
CD,76,0,0,0,0,0
CD,77,1,0,0,0,0
CD,77,1,0,0,0,0
CD,77,5,0,0,0,0
CD,77,0,0,0,0,0
CD,78,8,0,0,0,0
CD,78,12,4,0,0,4
CD,78,6,0,0,0,0
CD,78,4,0,0,0,0
CD,78,1,0,0,0,0
CD,79,4,2,0,0,2
CD,79,9,4,0,4,0
CD,79,3,0,0,0,0
CD,79,6,0,0,0,0
CD,79,2,0,0,0,0
CD,79,1,0,0,0,0
CD,79,0,0,0,0,0
CD,79,0,0,0,0,0
CD,80,2,0,0,0,0
CD,80,5,2,0,2,0
CD,81,5,3,0,0,3
CD,81,3,0,0,0,0
CD,81,2,0,0,0,0
CD,81,2,0,0,0,0
CD,81,1,0,0,0,0
CD,82,3,0,0,0,0
CD,82,12,3,0,0,3
CD,82,10,2,0,2,0
CD,82,5,0,0,0,0
CD,82,4,2,0,0,2
CD,82,4,0,0,0,0
CD,82,2,0,0,0,0
CD,82,4,0,0,0,0
CD,82,8,2,0,0,2
CD,82,3,2,0,2,0
CD,83,11,3,0,0,3
CD,83,5,3,0,2,1
CD,83,5,0,0,0,0
CD,83,5,0,0,0,0
CD,83,4,0,0,0,0
CD,84,6,0,0,0,0
CD,84,1,0,0,0,0
CD,84,1,0,0,0,0
CD,84,3,0,0,0,0
CD,84,3,0,0,0,0
CD,84,4,0,0,0,0
CD,85,8,0,0,0,0
CD,85,2,0,0,0,0
CD,85,2,0,0,0,0
CD,85,1,0,0,0,0
CD,85,1,0,0,0,0
CD,85,1,0,0,0,0
CD,86,10,4,0,4,0
CD,86,5,0,0,0,0
CD,86,1,0,0,0,0
CD,86,0,0,0,0,0
CD,86,0,0,0,0,0
CD,87,8,0,0,0,0
CD,87,7,0,0,0,0
CD,87,8,0,0,0,0
CD,87,5,0,0,0,0
CD,87,7,0,0,0,0
CD,87,2,0,0,0,0
CD,87,1,0,0,0,0
CD,87,1,0,0,0,0
CD,88,9,2,0,2,0
CD,88,9,0,0,0,0
CD,88,10,0,0,0,0
CD,88,7,4,0,4,0
CD,88,3,0,0,0,0
CD,88,8,6,0,4,2
CD,88,2,2,0,0,2
CD,88,0,0,0,0,0
CD,89,11,2,0,2,0
CD,89,10,4,0,2,2
CD,89,4,0,0,0,0
CD,89,8,2,0,2,0
CD,89,1,0,0,0,0
CD,89,3,0,0,0,0
CD,89,2,0,0,0,0
CD,89,2,2,0,2,0
CD,89,0,0,0,0,0
CD,90,10,0,0,0,0
CD,90,4,0,0,0,0
CD,90,4,0,0,0,0
CD,90,4,0,0,0,0
CD,90,2,0,0,0,0
CD,90,0,0,0,0,0
CD,91,12,2,0,2,0
CD,91,9,0,0,0,0
CD,91,17,2,0,2,0
CD,91,3,0,0,0,0
CD,91,1,0,0,0,0
CD,92,12,4,0,2,2
CD,92,8,0,0,0,0
CD,92,2,2,0,0,2
CD,92,6,0,0,0,0
CD,92,0,0,0,0,0
CD,92,0,0,0,0,0
CD,93,5,0,0,0,0
CD,93,5,2,0,0,2
CD,93,1,0,0,0,0
CD,93,1,0,0,0,0
CD,93,2,0,0,0,0
CD,93,1,0,0,0,0
CD,93,0,0,0,0,0
CD,94,0,0,0,0,0
CD,95,6,2,0,2,0
CD,95,10,0,0,0,0
CD,95,10,0,0,0,0
CD,95,1,0,0,0,0
CD,96,16,5,0,2,3
CD,96,11,4,0,2,2
CD,96,5,2,0,2,0
CD,96,11,4,0,2,2
CD,96,3,0,0,0,0
CD,96,1,0,0,0,0
CD,97,11,0,0,0,0
CD,97,9,5,0,5,0
CD,97,2,0,0,0,0
CD,97,1,0,0,0,0
CD,97,0,0,0,0,0
CD,98,21,9,0,2,7
CD,98,2,0,0,0,0
CD,98,7,4,0,2,2
CD,98,5,2,0,2,0
CD,98,0,0,0,0,0
CD,99,5,2,0,0,2
CD,99,7,4,0,4,0
CD,100,20,7,0,4,3
CD,100,12,3,0,3,0
CD,100,4,0,0,0,0
CD,100,4,0,0,0,0
CD,100,1,0,0,0,0
CD,100,3,2,0,2,0
CD,101,5,3,0,3,0
CD,101,6,0,0,0,0
CD,101,9,6,0,6,0
CD,101,6,0,0,0,0
CD,102,3,0,0,0,0
CD,102,7,4,0,2,2
CD,102,2,0,0,0,0
CD,102,1,0,0,0,0
CD,102,0,0,0,0,0
CD,103,7,0,0,0,0
CD,103,4,0,0,0,0
CD,103,0,0,0,0,0
CD,104,6,0,0,0,0
CD,104,6,2,0,2,0
CD,104,3,0,0,0,0
CD,104,3,0,0,0,0
CD,104,2,0,0,0,0
CD,104,2,0,0,0,0
CD,104,0,0,0,0,0
CD,105,8,2,0,2,0
CD,105,3,0,0,0,0
CD,105,10,5,0,5,0
CD,105,14,5,0,5,0
CD,105,2,0,0,0,0
CD,105,5,2,0,2,0
CD,105,5,2,0,2,0
CD,105,1,0,0,0,0
CD,106,14,4,0,4,0
CD,106,10,4,0,2,2
CD,106,5,4,0,2,2
CD,106,2,0,0,0,0
CD,106,3,0,0,0,0
CD,107,3,0,0,0,0
CD,107,5,0,0,0,0
CD,107,1,0,0,0,0
